"58196","Guy C. Verhille","wardrobe: men (as Guy Verhille)"
"58197","M.J. Frankovich","producer"
"58198","David Merrick","stage producer: New York"
"58199","Miriam Nelson","choreographer"
"58200","Gene Saks",NULL
"58201","Jimmie Haskell","orchestrator (uncredited)"
"58202","Jack Hayes","orchestrator (uncredited)"
"58203","Hal Mooney","orchestrator (uncredited)"
"58204","Leo Shuken","orchestrator (uncredited)"
"58205","Edward G. Boyle","(as Ed Boyle)"
"58206","Moss Mabry",NULL
"58207","William O'Sullivan","executive production manager"
"58208","Robert Clatworthy",NULL
"58209","Charles Lang","director of photography (as Charles E. Lang)"
"58210","John O'Gorman","makeup supervisor: Ingrid Bergman"
"58211","Whitey Ford","sound"
"58212","Arthur Piantadosi","sound"
"58213","Johnny Cash",NULL
"58214","Alvin Sargent","(screenplay)"
"58215","Madison Jones","(novel ""An Exile"")"
"58216","Henry Berman",NULL
"58217","Anthony Bavero","properties"
"58218","Harold F. Kress","supervising editor"
"58219","Philip L. Parslow","assistant director"
"58220","Bob Johnston","music supervisor (as Robert Johnston)"
"58221","Harold D. Cohen","producer"
"58222","Edward Lewis","executive producer"
"58223","Dominic Santarone","caterer (uncredited)"
"58224","Ruth Santarone","caterer (uncredited)"
"58225","John Frankenheimer",NULL
"58226","Albert Brenner",NULL
"58227","Marvin March",NULL
"58228","Lewis Brown",NULL
"58229","Howard Pine","production supervisor"
"58230","David M. Walsh","director of photography"
"58231","Buddy Van Horn","stunt double (uncredited)"
"58232","Ben Lane","makeup supervisor"
"58233","Jack Petty","makeup artist"
"58234","Frank Prehoda","makeup artist"
"58235","Tom Overton","sound"
"58236","Arthur Piantadosi","sound"
"58237","Tony Berg","music producer"
"58238","Linda Hart","music supervisor"
"58239","Mark Hoder","orchestrator"
"58240","Anthony Marinelli","musician: synthesizer"
"58241","Allan K. Rosen","supervising music editor"
"58242","Garth Craven",NULL
"58243","Susan Lavine","extras casting"
"58244","Ron Shelton",NULL
"58245","Dan Bronson","costumer"
"58246","Ellis Cohen","costume supervisor: men"
"58247","Nancy McArdle","costume supervisor"
"58248","Carline Davis-Dyer","script supervisor"
"58249","Rick Deal","stand-in"
"58250","Tom Fears","football coordinator"
"58251","Tissa Hans","production assistant"
"58252","Boots Hart","assistant accountant"
"58253","Linda Hart","choreographer"
"58254","Ken Hutton","football equipment manager"
"58255","Brad Johnson","projectionist"
"58256","Robert H. Lemer","location consultant"
"58257","David Lubin","production assistant"
"58258","Anthony Marinelli","synthesizer programmer"
"58259","Frank O'Neill","football trainer"
"58260","Midge Ogle","craft service"
"58261","J.W. Oliver","stand-in"
"58262","Fran Roy","production coordinator"
"58263","Mark Rutenberg","assistant: Mr. Williams"
"58264","Kate Sanford","production assistant"
"58265","Rath Shelton","assistant location consultant"
"58266","Dawn Snyder","production assistant"
"58267","Charles Stewart","set advisor (as Chuck Stewart)"
"58268","Sara Lee Wade","production assistant"
"58269","Richard K. Way","stand-in"
"58270","James M. Anderson","camera operator"
"58271","Jamie Anderson","camera operator"
"58272","Kirk Bales","dolly grip"
"58273","Ron Batzdorff","still photographer"
"58274","Bruce Birmelin","still photographer"
"58275","Alan Caso","camera operator"
"58276","Albert Fitch","electrician"
"58277","Scott Floren","best boy grip"
"58278","Augustus Gordon","electrician"
"58279","David R. Hardberger","assistant camera"
"58280","Richard Hartley","best boy electric (as Richard Hartley Jr.)"
"58281","Robert Hillman","director of photography: second unit"
"58282","Greg Langham","electrician"
"58283","Michael E. Matteson","key grip"
"58284","Richard Craig Meinardus","assistant camera: second unit"
"58285","Don Nygren","gaffer"
"58286","Mark A. Parsons","grip"
"58287","Russell Reilly","grip"
"58288","Bill Sheehan","assistant camera"
"58289","Tama Takahashi","assistant camera"
"58290","Michael D. Weldon","assistant camera"
"58291","Charles F. Wheeler",NULL
"58292","Arthur B. Rubinstein",NULL
"58293","Harry V. Bring","second assistant director"
"58294","Jim Dyer","first assistant director"
"58295","Brian E. Frankish","assistant director: second unit"
"58296","Gunnar Keel","second second assistant director"
"58297","Ron Shelton","second unit director"
"58298","Gregg Barbanell","foley artist"
"58299","Beth Bergeron","adr editor"
"58300","Bob Bowman","assistant sound editor"
"58301","James Dehr","sound: second unit"
"58302","Gordon Ecker","supervising sound editor"
"58303","Kirk Francis","production sound"
"58304","Robert W. Glass Jr.","sound re-recording mixer"
"58305","Ami Hadani","sound recordist"
"58306","John Leveque","sound editor"
"58307","Hudson B. Marquez","production sound (as Hudson Marquez)"
"58308","Arthur Piantadosi","sound re-recording mixer"
"58309","Jeffrey L. Sandler","sound editor"
"58310","Mike Seeman","cable person"
"58311","Karen G. Wilson","sound editor"
"58312","Richard E. Yawn","assistant sound editor"
"58313","Gordon Carroll","producer"
"58314","Fredda Weiss","associate producer"
"58315","Patricia Norris",NULL
"58316","Garry Elmendorf","special effects supervisor (as Gary Elmendorf)"
"58317","Jim Rollins","assistant special effects"
"58318","Rick Avery","stunts"
"58319","Dick Warlock","stunt double: Kurt Russell (uncredited)"
"58320","Donah Bassett","negative cutter"
"58321","Daniel Craven","apprentice film editor"
"58322","Mallory Gottlieb","assistant film editor"
"58323","Paula McKee","apprentice film editor (as Paula Pappe-McKee)"
"58324","Ken Morrisey","associate film editor"
