Joe Tornatore,2,"The Gumball Rally, Sweet Sweetback's Baadasssss Song"
Ed Setrakian,2,"Three Days of the Condor, The Pursuit of Happiness"
Liv Ullmann,2,"Lost Horizon, 40 Carats"
Alan Arkin,2,"Freebie and the Bean, The In-Laws"
Jack Warden,2,"All the President's Men, Summertree"
Richard Monahan,2,"Funny Girl, Blazing Saddles"
Karen Black,2,"Cisco Pike, Capricorn One"
Candice Bergen,2,"Bite the Bullet, Getting Straight"
Leonard Stone,2,"Getting Straight, Mame"
Bill Murray,2,"Tootsie, Next Stop, Greenwich Village"
Walter Brooke,2,"Marooned, St. Ives"
Mary Jane Mangler,2,"Funny Girl, Cactus Flower"
Charles Thomas Murphy,2,"Nickelodeon, History of the World: Part I"
Vaughn Taylor,2,"In Cold Blood, The Gumball Rally"
Art Evans,2,"The In-Laws, Wrong Is Right"
James Kline,2,"The Electric Horseman, The China Syndrome"
George Segal,2,"The Owl and the Pussycat, Blume in Love"
Meredith Baxter,2,"All the President's Men, Stand Up and Be Counted"
John Carradine,2,"Americathon, The Shootist"
Natalie Schafer,2,"Bernardine, 40 Carats"
Morgan Farley,2,"Nickelodeon, Sgt. Pepper's Lonely Hearts Club Band"
Karen Lamm,2,"Tilt, Scarecrow"
Robert Stiles,2,"Doctors' Wives, $"
Hal Holbrook,2,"Capricorn One, All the President's Men"
Michael York,2,"Lost Horizon, Cabaret"
Joe Sawyers,2,"The Comic, The Wrecking Crew"
Lee Grant,2,"The Swarm, Marooned"
Lavina Dawson,2,"Funny Girl, Stand Up and Be Counted"
Robert Webber,2,"$, Wrong Is Right"
Selma Archerd,2,"Americathon, Harry and Walter Go to New York"
Jane Fonda,2,"The Electric Horseman, The China Syndrome"
Don Ames,2,"Harry and Walter Go to New York, Blazing Saddles"
Nick Dimitri,2,"In Cold Blood, Hard Times"
Richard Derr,2,"The Drowning Pool, Firefox"
Jessica Rains,2,"Stand Up and Be Counted, Butterflies Are Free"
Bunny Summers,2,"Funny Girl, Doctors' Wives"
Loretta Swit,2,"Freebie and the Bean, Stand Up and Be Counted"
May Boss,2,"Americathon, Stand Up and Be Counted"
Ian Wolfe,2,"The Frisco Kid, Up the Academy"
Jerry Trent,2,"Mame, Blazing Saddles"
Nigel Hawthorne,2,"Firefox, History of the World: Part I"
Trent Dolan,2,"The Swarm, Capricorn One"
Don Porter,2,"Mame, 40 Carats"
Harry Fleer,2,"The Comic, The Wrecking Crew"
Margaret Teele,2,"Hook, Line and Sinker, Bob & Carol & Ted & Alice"
Patrick Labyorteaux,2,"Mame, Blazing Saddles"
Michael Douglas,2,"The China Syndrome, Summertree"
Helena Kallianiotes,2,"The Drowning Pool, Renaldo and Clara"
James Shigeta,2,"Lost Horizon, The Yakuza"
Harrison Ford,2,"Getting Straight, The Frisco Kid"
Lynn Fields,2,"Funny Girl, The Comic"
Howard Dayton,2,"Bob & Carol & Ted & Alice, The Comic"
Daniel Nunez,2,"Blazing Saddles, Blume in Love"
Katharine Ross,2,"The Swarm, Wrong Is Right"
Martin Fiscoe,2,"Altered States, The China Syndrome"
Madeline Kahn,2,"Blazing Saddles, History of the World: Part I"
Craig Littler,2,"Model Shop, Blazing Saddles"
Robert Shaw,2,"A Reflection of Fear, Time After Time"
Jack Riley,2,"The Thief Who Came to Dinner, History of the World: Part I"
John Holland,2,"1776, From Noon Till Three"
Brian Keith,2,"Nickelodeon, The Yakuza"
James Coburn,2,"Bite the Bullet, Hard Times"
William Bramley,2,"Getting Straight, Doctors' Wives"
Liam Dunn,2,"A Reflection of Fear, Blazing Saddles"
Dom DeLuise,2,"Blazing Saddles, History of the World: Part I"
Eve Bruce,2,"The Love Machine, Cactus Flower"
Al Silvani,2,"Bobby Deerfield, Fat City"
Howard Hesseman,2,"Cisco Pike, Americathon"
Strother Martin,2,"Fools' Parade, Hard Times"
Clyde McLeod,2,"The China Syndrome, Blazing Saddles"
Ron Prince,2,"Americathon, Sweet Sweetback's Baadasssss Song"
Beeson Carroll,2,"Shamus, Spacehunter: Adventures in the Forbidden Zone"
Alexandra Hay,2,"Model Shop, The Love Machine"
Jon Lormer,2,"Getting Straight, Doctors' Wives"
Bradford Dillman,2,"The Swarm, Brother John"
John Finnegan,2,"Nickelodeon, The In-Laws"
John Steadman,2,"The Frisco Kid, St. Ives"
