"22149","Stephen Powers"
"22150","Chris Capen"
"22151","Tony Haig"
"22152","Bill Snider"
"22153","George F. Simmons"
"22154","Arell Blanton"
"22155","Trent Dolan"
"22156","John Williams"
"22157","Steven Marlo"
"22158","Phil Montgomery"
"22159","Jim Galante"
"22160","Frank Blair"
"22161","Marcia Nicholson"
"22162","Arthur Space"
"22163","Chuck Hayward"
"22164","Glenn Charles Lewis"
"22165","Art Balinger"
"22166","Michael Sheehan"
"22167","Howard Culver"
"22168","Marneen Fields"
"22169","Larry Moran"
"22170","Dyan Cannon"
"22171","John P. Ryan"
"22172","Joe Santos"
"22173","Giorgio Tozzi"
"22174","Ron Weyand"
"22175","Larry Block"
"22176","Beeson Carroll"
"22177","Kevin Conway"
"22178","Kay Frye"
"22179","John Glover"
"22180","Merwin Goldsmith"
"22181","Melody Santangello"
"22182","Irving Selbst"
"22183","Alex Wilson"
"22184","John Amato Jr."
"22185","Lou Martell"
"22186","Marshall Anker"
"22187","Bert Bertram"
"22188","Jimmy Kelly"
"22189","Alisha Fontaine"
"22190","Mickey Freeman"
"22191","Captain Haggerty"
"22192","Tommy Lane"
"22193","Norman Marshall"
"22194","Glenn R. Wilder"
"22195","Charlie Picerni"
"22196","Tony Amato Sr."
"22197","Frank Sivero"
"22198","Alex Stevens"
"22199","Steve Vignari"
"22200","Mark Weston"
"22201","Fat Thomas"
"22202","Morris the Cat"
"22203","Robert Dominick Jones"
"22204","James Mapes"
"22205","Burt Richards"
"22206","Sidney Poitier"
"22207","Will Geer"
"22208","Beverly Todd"
"22209","Ramon Bieri"
"22210","Warren J. Kemmerling"
"22211","Lincoln Kilpatrick"
"22212","P. Jay Sidney"
"22213","Richard Ward"
"22214","Paul Winfield"
"22215","Zara Cully"
"22216","Michael Bell"
"22217","Howard Rice"
"22218","Darlene Rice"
"22219","Harry Davis"
"22220","Lynn Hamilton"
"22221","Gene Tyburn"
"22222","E.A. Nicholson"
"22223","Billy Crane"
"22224","Richard Bay"
"22225","John Hancock"
"22226","Lynn Arden"
"22227","William Houze"
"22228","Maye Henderson"
"22229","Lois Smith"
"22230","Jack Lemmon"
"22231","Michael Douglas"
"22232","James Hampton"
"22233","Peter Donat"
"22234","Richard Herd"
"22235","Daniel Valdez"
"22236","Stan Bohrman"
"22237","James Karen"
"22238","Michael Alaimo"
"22239","Donald Hotton"
"22240","Khalilah Ali"
"22241","Paul Larson"
"22242","Ron Lombard"
"22243","Tom Eure"
"22244","Nick Pellegrino"
"22245","Daniel Lewk"
"22246","Allan Chinn"
"22247","Martin Fiscoe"
"22248","Alan Kaul"
"22249","Michael Mann"
"22250","David Eisenbise"
"22251","Frank Cavestani"
"22252","Reuben Collins"
"22253","David Pfeiffer"
"22254","Lewis Arquette"
"22255","Dennis McMullen"
"22256","Rita Taggart"
"22257","James Hall"
"22258","Carol Schlanger"
"22259","Trudy Lane"
"22260","Jack Smith Jr."
"22261","David Arnsen"
"22262","Betty Harford"
"22263","Donald Bishop"
"22264","Al Baietti"
"22265","Diandra Morrell"
"22266","Darrell Larson"
"22267","Roger Pancake"
"22268","Joe Lowry"
"22269","Harry M. Williams"
"22270","Dennis Barker"
"22271","Joseph Garcia"
"22272","Alan Beckwith"
"22273","Clay Hodges"
"22274","Val Clenard"
"22275","Peter Paul Eastman"
"22276","Michael Jeffers"
"22277","Clyde McLeod"
"22278","Robert S. Woods"
"22279","George Peppard"
